"Município";"IDHM 2010";"IDHM
Renda
2010";"IDHM Longevidade 2010";"IDHM Educação 2010";"Estado"
"Aracati";0,655;0,607;0,742;0,624;"CE"
"Sapopema";0,655;0,695;0,795;0,509;"PR"
"Capanema";0,655;0,61;0,794;0,58;"PA"
"Raul Soares";0,655;0,658;0,823;0,52;"MG"
"Engenheiro Navarro";0,655;0,599;0,791;0,594;"MG"
"Tesouro";0,655;0,635;0,791;0,56;"MT"
"Baliza";0,655;0,614;0,819;0,558;"GO"
"Boa Ventura de São Roque";0,655;0,635;0,802;0,553;"PR"
"Carmo da Cachoeira";0,655;0,672;0,801;0,523;"MG"
"Belo Vale";0,655;0,672;0,814;0,514;"MG"
"Funilândia";0,655;0,612;0,844;0,545;"MG"
"Mandirituba";0,655;0,677;0,807;0,515;"PR"
"São João da Baliza";0,655;0,614;0,78;0,587;"RR"
"Santo Antônio do Leste";0,655;0,658;0,853;0,501;"MT"
"Itapemirim";0,654;0,64;0,808;0,54;"ES"
"Dores do Rio Preto";0,654;0,635;0,813;0,542;"ES"
"Sem-Peixe";0,654;0,623;0,826;0,543;"MG"
"Saltinho";0,654;0,639;0,795;0,551;"SC"
"Galiléia";0,654;0,645;0,795;0,546;"MG"
"Nova Viçosa";0,654;0,657;0,78;0,546;"BA"
"Portelândia";0,654;0,68;0,803;0,513;"GO"
"Francisco Sá";0,654;0,605;0,808;0,572;"MG"
"Pinhão";0,654;0,649;0,806;0,534;"PR"
"Itapiranga";0,654;0,594;0,792;0,594;"AM"
"Santa Cruz Cabrália";0,654;0,624;0,784;0,571;"BA"
"Rafael Godeiro";0,654;0,583;0,789;0,607;"RN"
"Talismã";0,654;0,654;0,801;0,535;"TO"
"São João do Jaguaribe";0,654;0,62;0,784;0,576;"CE"
"Dezesseis de Novembro";0,654;0,625;0,809;0,553;"RS"
"Itaporã";0,654;0,66;0,809;0,523;"MS"
"Abre Campo";0,654;0,646;0,823;0,525;"MG"
"Campos Verdes";0,654;0,608;0,796;0,577;"GO"
"Capão Alto";0,654;0,68;0,796;0,516;"SC"
"Tanguá";0,654;0,644;0,793;0,548;"RJ"
"Silva Jardim";0,654;0,657;0,793;0,536;"RJ"
"Cruzeta";0,654;0,602;0,748;0,621;"RN"
"Iapu";0,654;0,639;0,819;0,535;"MG"
"Pedro Canário";0,654;0,643;0,812;0,536;"ES"
"Damianópolis";0,654;0,614;0,815;0,558;"GO"
"Epitaciolândia";0,653;0,654;0,771;0,553;"AC"
"Presidente Dutra";0,653;0,628;0,788;0,563;"MA"
"Campestre de Goiás";0,653;0,628;0,799;0,556;"GO"
"Trombas";0,653;0,628;0,812;0,547;"GO"
"Rio Rufino";0,653;0,652;0,806;0,53;"SC"
"Santa Amélia";0,653;0,655;0,809;0,526;"PR"
"Itabirinha";0,653;0,625;0,838;0,531;"MG"
"Ilha de Itamaracá";0,653;0,627;0,809;0,548;"PE"
"São Lourenço da Mata";0,653;0,614;0,793;0,571;"PE"
"Ritápolis";0,653;0,649;0,815;0,526;"MG"
"Novo Santo Antônio";0,653;0,64;0,829;0,526;"MT"
"Bom Repouso";0,653;0,647;0,821;0,523;"MG"
"Capelinha";0,653;0,641;0,824;0,527;"MG"
"Divinópolis de Goiás";0,653;0,624;0,813;0,55;"GO"
"São João da Mata";0,653;0,676;0,822;0,501;"MG"
"São José de Ubá";0,652;0,633;0,798;0,548;"RJ"
"São Martinho da Serra";0,652;0,659;0,848;0,496;"RS"
"Poconé";0,652;0,643;0,806;0,534;"MT"
"Jijoca de Jericoacoara";0,652;0,614;0,723;0,625;"CE"
"Caraá";0,652;0,661;0,83;0,505;"RS"
"Guarará";0,652;0,65;0,802;0,532;"MG"
"Ipiranga";0,652;0,684;0,828;0,489;"PR"
"Iracema";0,652;0,597;0,733;0,632;"CE"
"Moreno";0,652;0,61;0,805;0,564;"PE"
"Casa Grande";0,652;0,608;0,823;0,555;"MG"
"Mauá da Serra";0,652;0,661;0,793;0,529;"PR"
"Guarinos";0,652;0,604;0,815;0,563;"GO"
"Porto Esperidião";0,652;0,666;0,795;0,523;"MT"
"Campestre do Maranhão";0,652;0,611;0,774;0,586;"MA"
"Sério";0,652;0,695;0,847;0,471;"RS"
"Ibarama";0,652;0,686;0,792;0,511;"RS"
"Silveirânia";0,652;0,645;0,841;0,511;"MG"
"Água Doce do Norte";0,652;0,619;0,819;0,546;"ES"
"Chupinguaia";0,652;0,659;0,82;0,514;"RO"
"General Carneiro";0,652;0,638;0,816;0,532;"PR"
"Alto Boa Vista";0,651;0,613;0,803;0,561;"MT"
"Virgínia";0,651;0,635;0,829;0,523;"MG"
"Porteirinha";0,651;0,593;0,796;0,585;"MG"
"Arraias";0,651;0,636;0,829;0,523;"TO"
"Serra dos Aimorés";0,651;0,653;0,784;0,539;"MG"
"Crucilândia";0,651;0,653;0,816;0,518;"MG"
"Periquito";0,651;0,593;0,839;0,555;"MG"
"Goiana";0,651;0,614;0,779;0,576;"PE"
"São Francisco de Goiás";0,651;0,658;0,825;0,509;"GO"
"Nova Campina";0,651;0,598;0,799;0,577;"SP"
"Nova Brasilândia";0,651;0,673;0,845;0,485;"MT"
"Padre Bernardo";0,651;0,67;0,801;0,515;"GO"
"Ivaí";0,651;0,654;0,791;0,534;"PR"
"Santana do Deserto";0,651;0,66;0,849;0,493;"MG"
"Rochedo";0,651;0,676;0,83;0,491;"MS"
"Taquaraçu de Minas";0,651;0,643;0,818;0,525;"MG"
"Bacabal";0,651;0,619;0,753;0,591;"MA"
"São Geraldo";0,651;0,656;0,831;0,507;"MG"
"Aparecida do Rio Negro";0,651;0,593;0,791;0,588;"TO"
"Nova Tebas";0,651;0,632;0,788;0,553;"PR"
"Taquarussu";0,651;0,657;0,769;0,545;"MS"
"Jati";0,651;0,562;0,776;0,634;"CE"
"São José das Missões";0,651;0,652;0,782;0,542;"RS"
"Igaratinga";0,651;0,682;0,842;0,481;"MG"
"Santa Rita do Tocantins";0,651;0,63;0,83;0,527;"TO"
"Carmésia";0,65;0,631;0,805;0,54;"MG"
"Gameleiras";0,65;0,559;0,796;0,618;"MG"
"Cabixi";0,65;0,65;0,757;0,559;"RO"
"São João do Manhuaçu";0,65;0,659;0,836;0,498;"MG"
"Itanhomi";0,65;0,656;0,831;0,503;"MG"
"Nova Bandeirantes";0,65;0,696;0,842;0,469;"MT"
"Pinhal da Serra";0,65;0,641;0,835;0,513;"RS"
"Ventania";0,65;0,633;0,798;0,543;"PR"
"Faina";0,65;0,644;0,799;0,534;"GO"
"Cana Verde";0,65;0,652;0,821;0,512;"MG"
"Canguçu";0,65;0,683;0,819;0,491;"RS"
"Pium";0,65;0,633;0,822;0,527;"TO"
"Rosário Oeste";0,65;0,653;0,807;0,52;"MT"
"Rio Casca";0,65;0,651;0,813;0,519;"MG"
"Guadalupe";0,65;0,639;0,794;0,542;"PI"
"Barros Cassal";0,65;0,69;0,795;0,5;"RS"
"Marmelópolis";0,65;0,615;0,806;0,553;"MG"
"Pacaraima";0,65;0,624;0,788;0,558;"RR"
"Monte Alegre dos Campos";0,65;0,667;0,822;0,501;"RS"
"Monjolos";0,65;0,612;0,819;0,548;"MG"
"Itaporã do Tocantins";0,65;0,613;0,842;0,531;"TO"
"São Luiz";0,649;0,605;0,788;0,574;"RR"
"Canaã";0,649;0,644;0,798;0,532;"MG"
"Jesúpolis";0,649;0,642;0,814;0,522;"GO"
"Boa Vista";0,649;0,59;0,796;0,582;"PB"
"Barão de Monte Alto";0,649;0,619;0,827;0,533;"MG"
"Candeias do Jamari";0,649;0,652;0,819;0,512;"RO"
"Cerrito";0,649;0,657;0,824;0,504;"RS"
"Arapiraca";0,649;0,638;0,78;0,549;"AL"
"Bayeux";0,649;0,619;0,779;0,566;"PB"
"Alagoa";0,649;0,634;0,832;0,518;"MG"
"Barra dos Coqueiros";0,649;0,647;0,776;0,545;"SE"
"Jacobina";0,649;0,636;0,772;0,558;"BA"
"São Felipe D'Oeste";0,649;0,615;0,78;0,571;"RO"
"Mampituba";0,649;0,65;0,813;0,517;"RS"
"Novo Horizonte do Sul";0,649;0,656;0,798;0,523;"MS"
"Lebon Régis";0,649;0,632;0,806;0,537;"SC"
"Novo São Joaquim";0,649;0,658;0,819;0,507;"MT"
"Peixoto de Azevedo";0,649;0,691;0,761;0,521;"MT"
"Timon";0,649;0,614;0,768;0,579;"MA"
"Unistalda";0,649;0,626;0,804;0,542;"RS"
"Santa Cruz do Capibaribe";0,648;0,667;0,806;0,506;"PE"
"Carlos Chagas";0,648;0,641;0,826;0,513;"MG"
"Morro da Garça";0,648;0,619;0,816;0,538;"MG"
"Angico";0,648;0,576;0,773;0,612;"TO"
"Dilermando de Aguiar";0,648;0,681;0,864;0,463;"RS"
"Rio Manso";0,648;0,676;0,802;0,501;"MG"
"Frei Inocêncio";0,648;0,624;0,779;0,559;"MG"
"Felixlândia";0,648;0,651;0,815;0,514;"MG"
"Cabeceira Grande";0,648;0,638;0,788;0,542;"MG"
"Ubajara";0,648;0,595;0,769;0,594;"CE"
"Capela Nova";0,648;0,602;0,797;0,568;"MG"
"Cardoso Moreira";0,648;0,653;0,782;0,534;"RJ"
"São João do Oriente";0,648;0,631;0,805;0,536;"MG"
"Santa Maria de Itabira";0,648;0,622;0,821;0,533;"MG"
"Reserva do Iguaçu";0,648;0,636;0,82;0,521;"PR"
"Passa-Vinte";0,648;0,662;0,809;0,507;"MG"
"Brejo Santo";0,647;0,596;0,768;0,592;"CE"
"Presidente Figueiredo";0,647;0,627;0,802;0,538;"AM"
"Santana do Jacaré";0,647;0,655;0,79;0,523;"MG"
"Cachoeira";0,647;0,615;0,762;0,577;"BA"
"Caracol";0,647;0,628;0,826;0,522;"MS"
"Valença do Piauí";0,647;0,62;0,773;0,566;"PI"
"Vila Boa";0,647;0,619;0,818;0,534;"GO"
"Salinópolis";0,647;0,628;0,798;0,541;"PA"
"Ibatiba";0,647;0,651;0,83;0,501;"ES"
"Estância";0,647;0,627;0,782;0,552;"SE"
"Santana dos Montes";0,647;0,608;0,801;0,557;"MG"
"Munhoz";0,647;0,634;0,821;0,52;"MG"
"Bocaina do Sul";0,647;0,642;0,768;0,549;"SC"
"Goiabeira";0,647;0,628;0,799;0,539;"MG"
"São Sebastião do Alto";0,646;0,638;0,789;0,536;"RJ"
"Alpercata";0,646;0,629;0,824;0,521;"MG"
"Lontra";0,646;0,589;0,794;0,577;"MG"
"Carvalhos";0,646;0,667;0,82;0,492;"MG"
"Cascavel";0,646;0,587;0,793;0,578;"CE"
"Cacaulândia";0,646;0,664;0,801;0,506;"RO"
"Piracema";0,646;0,646;0,809;0,515;"MG"
"Vale Verde";0,646;0,666;0,816;0,497;"RS"
"Santo Amaro";0,646;0,626;0,772;0,559;"BA"
"Itamarandiba";0,646;0,618;0,798;0,547;"MG"
"Fernandes Tourinho";0,646;0,608;0,807;0,55;"MG"
"Penaforte";0,646;0,566;0,761;0,626;"CE"
"Lucrécia";0,646;0,624;0,785;0,551;"RN"
"Xinguara";0,646;0,671;0,8;0,503;"PA"
"São Miguel do Guaporé";0,646;0,644;0,781;0,537;"RO"
"Muniz Freire";0,645;0,637;0,821;0,512;"ES"
"Taparuba";0,645;0,604;0,799;0,557;"MG"
"Tibau do Sul";0,645;0,672;0,794;0,504;"RN"
"Vila Bela da Santíssima Trindade";0,645;0,644;0,843;0,495;"MT"
"Simolândia";0,645;0,595;0,826;0,546;"GO"
"General Maynard";0,645;0,609;0,776;0,567;"SE"
"Porto Alegre do Tocantins";0,645;0,586;0,785;0,584;"TO"
"Bocaina de Minas";0,645;0,665;0,848;0,476;"MG"
"Ouro Branco";0,645;0,61;0,789;0,558;"RN"
"Tabuleiro do Norte";0,645;0,62;0,791;0,547;"CE"
"Jatobá";0,645;0,604;0,775;0,573;"PE"
"São Nicolau";0,645;0,658;0,778;0,523;"RS"
"Foz do Jordão";0,645;0,654;0,828;0,496;"PR"
"Paragominas";0,645;0,667;0,781;0,514;"PA"
"Águas Formosas";0,645;0,624;0,811;0,531;"MG"
"Manfrinópolis";0,645;0,642;0,805;0,52;"PR"
"Vera Cruz";0,645;0,632;0,817;0,52;"BA"
"Fernandes Pinheiro";0,645;0,647;0,791;0,525;"PR"
"Durandé";0,645;0,626;0,842;0,508;"MG"
"Antônio Dias";0,645;0,624;0,849;0,507;"MG"
"São João do Piauí";0,645;0,615;0,769;0,567;"PI"
"Mutum";0,644;0,635;0,822;0,511;"MG"
"Crixás do Tocantins";0,644;0,603;0,798;0,555;"TO"
"Itacoatiara";0,644;0,618;0,811;0,534;"AM"
"Crateús";0,644;0,618;0,787;0,55;"CE"
"Messias Targino";0,644;0,608;0,779;0,565;"RN"
"Diamante D'Oeste";0,644;0,647;0,776;0,532;"PR"
"Forquilha";0,644;0,583;0,76;0,602;"CE"
"Cristal";0,644;0,687;0,826;0,471;"RS"
"Iaciara";0,644;0,615;0,826;0,527;"GO"
"Senador Firmino";0,644;0,639;0,829;0,505;"MG"
"São Miguel do Anta";0,644;0,616;0,828;0,523;"MG"
"Engenheiro Caldas";0,644;0,632;0,815;0,518;"MG"
"Antônio João";0,643;0,633;0,799;0,526;"MS"
"Rio Crespo";0,643;0,637;0,813;0,513;"RO"
"Monte Carlo";0,643;0,648;0,804;0,511;"SC"
"Nova Crixás";0,643;0,674;0,813;0,485;"GO"
"Serranos";0,643;0,638;0,834;0,499;"MG"
"São Valério";0,643;0,605;0,814;0,539;"TO"
"Rio Largo";0,643;0,616;0,788;0,547;"AL"
"Teixeirópolis";0,643;0,653;0,818;0,498;"RO"
"Alvorada D'Oeste";0,643;0,654;0,763;0,534;"RO"
"Calçoene";0,643;0,636;0,759;0,55;"AP"
"Mirante da Serra";0,643;0,673;0,8;0,494;"RO"
"Lagoão";0,643;0,641;0,822;0,505;"RS"
"Hulha Negra";0,643;0,653;0,796;0,512;"RS"
"Nova Brasilândia D'Oeste";0,643;0,664;0,763;0,524;"RO"
"Nazaré";0,643;0,584;0,792;0,576;"TO"
"Jequitaí";0,643;0,605;0,797;0,552;"MG"
"Governador Mangabeira";0,643;0,594;0,754;0,594;"BA"
"Carmópolis";0,643;0,623;0,783;0,546;"SE"
"Palmeiras";0,643;0,608;0,782;0,56;"BA"
"Argirita";0,643;0,645;0,817;0,505;"MG"
"Quixeramobim";0,642;0,592;0,789;0,567;"CE"
"Amapá";0,642;0,631;0,79;0,532;"AP"
"Marechal Deodoro";0,642;0,641;0,793;0,52;"AL"
"Belém do São Francisco";0,642;0,611;0,784;0,553;"PE"
"Florânia";0,642;0,611;0,775;0,56;"RN"
"Santa Rita do Pardo";0,642;0,655;0,8;0,505;"MS"
"Laranjeiras";0,642;0,589;0,772;0,582;"SE"
"Itabaiana";0,642;0,645;0,801;0,513;"SE"
"Almenara";0,642;0,636;0,803;0,518;"MG"
"Manga";0,642;0,624;0,799;0,53;"MG"
"Almeirim";0,642;0,659;0,809;0,497;"PA"
"Corrente";0,642;0,62;0,789;0,54;"PI"
"Passabém";0,642;0,631;0,787;0,533;"MG"
"Santana do Seridó";0,642;0,595;0,767;0,58;"RN"
"Babaçulândia";0,642;0,589;0,792;0,568;"TO"
"Barrolândia";0,642;0,6;0,817;0,541;"TO"
"São Vicente";0,642;0,606;0,787;0,556;"RN"
"Nova Laranjeiras";0,642;0,614;0,833;0,517;"PR"
"São Valério do Sul";0,642;0,674;0,816;0,48;"RS"
"Malta";0,642;0,62;0,8;0,533;"PB"
"Coração de Jesus";0,642;0,575;0,808;0,57;"MG"
"Nazaré";0,641;0,637;0,777;0,532;"BA"
"Barra do Turvo";0,641;0,625;0,792;0,532;"SP"
"Itacarambi";0,641;0,593;0,787;0,564;"MG"
"Nova Porteirinha";0,641;0,584;0,811;0,556;"MG"
"Taquaritinga do Norte";0,641;0,636;0,796;0,52;"PE"
"João Lisboa";0,641;0,585;0,785;0,573;"MA"
"São Mamede";0,641;0,617;0,765;0,558;"PB"
"Aquiraz";0,641;0,608;0,788;0,55;"CE"
"Alta Floresta D'Oeste";0,641;0,657;0,763;0,526;"RO"
"Amparo do Serra";0,641;0,616;0,811;0,528;"MG"
"Campo Belo do Sul";0,641;0,648;0,768;0,528;"SC"
"Primavera de Rondônia";0,641;0,645;0,799;0,512;"RO"
"Frei Martinho";0,641;0,631;0,77;0,542;"PB"
"Axixá";0,641;0,535;0,776;0,634;"MA"
"Coxixola";0,641;0,586;0,794;0,567;"PB"
"Goioxim";0,641;0,593;0,813;0,547;"PR"
"Vitória de Santo Antão";0,64;0,629;0,768;0,543;"PE"
"Bocaiúva do Sul";0,64;0,679;0,816;0,473;"PR"
"Pedras Altas";0,64;0,647;0,82;0,493;"RS"
"Timbaúba dos Batistas";0,64;0,614;0,723;0,591;"RN"
"São Domingos";0,64;0,601;0,757;0,575;"BA"
"Macaíba";0,64;0,613;0,784;0,545;"RN"
"Itaituba";0,64;0,644;0,8;0,51;"PA"
"Itapipoca";0,64;0,562;0,761;0,613;"CE"
"Carmolândia";0,64;0,621;0,81;0,521;"TO"
"Conceição do Araguaia";0,64;0,631;0,77;0,54;"PA"
"Santa Maria do Suaçuí";0,64;0,629;0,817;0,511;"MG"
"Formoso";0,64;0,616;0,834;0,51;"MG"
"São Gonçalo do Rio Preto";0,64;0,593;0,815;0,542;"MG"
"Porto Grande";0,64;0,61;0,777;0,554;"AP"
"São Romão";0,64;0,586;0,787;0,568;"MG"
"Senador Guiomard";0,64;0,649;0,786;0,513;"AC"
"São João do Manteninha";0,64;0,623;0,805;0,522;"MG"
"Machacalis";0,64;0,607;0,783;0,552;"MG"
"Catolé do Rocha";0,64;0,617;0,787;0,539;"PB"
"Rio Branco do Ivaí";0,64;0,624;0,783;0,537;"PR"
"Rondolândia";0,64;0,619;0,8;0,53;"MT"
"Ribeirão Branco";0,639;0,592;0,797;0,553;"SP"
"Piedade de Ponte Nova";0,639;0,616;0,802;0,528;"MG"
"Paudalho";0,639;0,612;0,782;0,545;"PE"
"Araguacema";0,639;0,587;0,805;0,553;"TO"
"Nioaque";0,639;0,658;0,822;0,483;"MS"
"Novo Acordo";0,639;0,618;0,797;0,53;"TO"
"Caroebe";0,639;0,6;0,791;0,549;"RR"
"Dois Irmãos do Buriti";0,639;0,64;0,773;0,528;"MS"
"Tefé";0,639;0,637;0,801;0,511;"AM"
"Apodi";0,639;0,611;0,747;0,571;"RN"
"Delta";0,639;0,672;0,808;0,481;"MG"
"Palmital";0,639;0,647;0,791;0,511;"PR"
"São Félix do Coribe";0,639;0,601;0,784;0,555;"BA"
"São Félix";0,639;0,582;0,769;0,583;"BA"
"Luzinópolis";0,639;0,593;0,726;0,605;"TO"
"Uruburetama";0,639;0,564;0,76;0,608;"CE"
"Mariluz";0,639;0,653;0,794;0,504;"PR"
"Água Branca";0,639;0,6;0,763;0,569;"PI"
"São Francisco de Itabapoana";0,639;0,618;0,791;0,533;"RJ"
"Desterro de Entre Rios";0,639;0,607;0,802;0,536;"MG"
"Capitão Enéas";0,639;0,573;0,806;0,565;"MG"
"Bandeirantes do Tocantins";0,638;0,57;0,797;0,571;"TO"
"Simão Pereira";0,638;0,645;0,843;0,478;"MG"
"São João Evangelista";0,638;0,62;0,806;0,52;"MG"
"Goianinha";0,638;0,619;0,783;0,537;"RN"
"Rio Maria";0,638;0,651;0,804;0,495;"PA"
"Palhano";0,638;0,572;0,723;0,628;"CE"
"Corumbataí do Sul";0,638;0,632;0,79;0,52;"PR"
"Carbonita";0,638;0,617;0,796;0,529;"MG"
"São Francisco";0,638;0,595;0,804;0,542;"MG"
"Palmeira dos Índios";0,638;0,625;0,794;0,523;"AL"
"Sabinópolis";0,638;0,637;0,812;0,502;"MG"
"Ibirapuitã";0,638;0,678;0,828;0,463;"RS"
"Vicente Dutra";0,638;0,656;0,809;0,489;"RS"
"Bernardo Sayão";0,638;0,606;0,748;0,573;"TO"
"Moeda";0,638;0,657;0,8;0,494;"MG"
"São Domingos das Dores";0,638;0,602;0,8;0,539;"MG"
"Beberibe";0,638;0,585;0,778;0,571;"CE"
"Umburatiba";0,638;0,599;0,815;0,531;"MG"
"Ministro Andreazza";0,638;0,647;0,776;0,518;"RO"
"Wanderlândia";0,638;0,619;0,748;0,561;"TO"
"Caraúbas";0,638;0,594;0,786;0,556;"RN"
"Jaíba";0,638;0,619;0,789;0,531;"MG"
"Alto Paraguai";0,638;0,612;0,784;0,541;"MT"
"Nossa Senhora do Livramento";0,638;0,6;0,82;0,529;"MT"
"Santo Amaro das Brotas";0,637;0,613;0,778;0,543;"SE"
"Pinheiro";0,637;0,579;0,771;0,579;"MA"
"Pedro Teixeira";0,637;0,587;0,794;0,555;"MG"
"Caculé";0,637;0,621;0,769;0,541;"BA"
"Guaramiranga";0,637;0,576;0,736;0,61;"CE"
"São Jerônimo da Serra";0,637;0,626;0,822;0,503;"PR"
"Capão Bonito do Sul";0,637;0,654;0,779;0,507;"RS"
"Santa Terezinha do Tocantins";0,637;0,583;0,758;0,584;"TO"
"Bonfim";0,637;0,669;0,834;0,464;"MG"
"Paula Cândido";0,637;0,632;0,823;0,497;"MG"
"Paracuru";0,637;0,597;0,746;0,581;"CE"
"Apuí";0,637;0,621;0,772;0,54;"AM"
"Irupi";0,637;0,658;0,798;0,493;"ES"
"Itanhém";0,637;0,624;0,79;0,525;"BA"
"Valente";0,637;0,623;0,729;0,568;"BA"
"Santa Bárbara do Tugúrio";0,637;0,616;0,81;0,517;"MG"
"Guarani de Goiás";0,637;0,569;0,814;0,557;"GO"
"Oratórios";0,637;0,627;0,824;0,5;"MG"
"Itaperuçu";0,637;0,654;0,779;0,507;"PR"
"Joaquim Felício";0,637;0,642;0,824;0,489;"MG"
"Capão do Leão";0,637;0,662;0,814;0,48;"RS"
"Uiraúna";0,636;0,612;0,797;0,528;"PB"
"Nova Lacerda";0,636;0,643;0,825;0,485;"MT"
"Sardoá";0,636;0,594;0,812;0,533;"MG"
"Felipe Guerra";0,636;0,582;0,768;0,575;"RN"
"Curionópolis";0,636;0,592;0,809;0,536;"PA"
"Tijucas do Sul";0,636;0,679;0,792;0,479;"PR"
"Almas";0,636;0,616;0,796;0,524;"TO"
"Olaria";0,636;0,638;0,823;0,49;"MG"
"Retirolândia";0,636;0,579;0,773;0,574;"BA"
"São José do Cerrito";0,636;0,618;0,827;0,503;"SC"
"Ibotirama";0,636;0,601;0,78;0,548;"BA"
"Orós";0,636;0,582;0,793;0,557;"CE"
"Pindoretama";0,636;0,581;0,754;0,588;"CE"
"Espigão Alto do Iguaçu";0,636;0,632;0,781;0,521;"PR"
"Dores de Guanhães";0,636;0,612;0,821;0,512;"MG"
"Candói";0,635;0,655;0,778;0,503;"PR"
"Oliveira Fortes";0,635;0,616;0,794;0,523;"MG"
"Cantagalo";0,635;0,638;0,768;0,522;"PR"
"Piripiri";0,635;0,621;0,775;0,533;"PI"
"Surubim";0,635;0,617;0,756;0,548;"PE"
"Terra Santa";0,635;0,602;0,763;0,558;"PA"
"Martins Soares";0,635;0,619;0,809;0,512;"MG"
"Santa Cruz";0,635;0,597;0,761;0,564;"RN"
"São José do Egito";0,635;0,602;0,769;0,554;"PE"
"Seabra";0,635;0,588;0,761;0,572;"BA"
"Chapada Gaúcha";0,635;0,573;0,82;0,546;"MG"
"Pacoti";0,635;0,571;0,773;0,58;"CE"
"Itueta";0,635;0,64;0,825;0,485;"MG"
"Tibau";0,635;0,627;0,769;0,53;"RN"
"Santa Rita do Novo Destino";0,634;0,639;0,82;0,487;"GO"
"Taguatinga";0,634;0,628;0,818;0,497;"TO"
"Caranaíba";0,634;0,593;0,807;0,533;"MG"
"Pombal";0,634;0,629;0,787;0,515;"PB"
"Paraipaba";0,634;0,574;0,738;0,602;"CE"
"Oeiras";0,634;0,619;0,753;0,547;"PI"
"Gramado Xavier";0,634;0,681;0,792;0,473;"RS"
"Novo Horizonte do Oeste";0,634;0,606;0,799;0,527;"RO"
"Vila Propício";0,634;0,629;0,802;0,505;"GO"
"Carolina";0,634;0,6;0,802;0,529;"MA"
"Itambé do Mato Dentro";0,634;0,605;0,823;0,513;"MG"
"Nova Roma";0,634;0,594;0,812;0,529;"GO"
"Porto Firme";0,634;0,615;0,804;0,516;"MG"
"Lagoa dos Patos";0,634;0,593;0,773;0,556;"MG"
"Serrinha";0,634;0,615;0,778;0,532;"BA"
"Gravatá";0,634;0,63;0,794;0,51;"PE"
"Santa Maria do Tocantins";0,634;0,6;0,784;0,543;"TO"
"Mundo Novo";0,634;0,642;0,812;0,488;"GO"
"Itagimirim";0,634;0,602;0,821;0,516;"BA"
"São João da Lagoa";0,634;0,575;0,813;0,546;"MG"
"Entre Folhas";0,634;0,617;0,792;0,521;"MG"
"Conceição da Feira";0,634;0,606;0,766;0,548;"BA"
"Itambacuri";0,634;0,616;0,784;0,527;"MG"
"Tuparetama";0,634;0,612;0,749;0,557;"PE"
"Conceição do Mato Dentro";0,634;0,622;0,794;0,517;"MG"
"Vargem Grande do Rio Pardo";0,634;0,563;0,811;0,559;"MG"
"Tarumirim";0,633;0,614;0,829;0,499;"MG"
"Tauá";0,633;0,585;0,773;0,56;"CE"
"Aral Moreira";0,633;0,628;0,798;0,507;"MS"
"Caiana";0,633;0,631;0,833;0,483;"MG"
"Groaíras";0,633;0,585;0,724;0,598;"CE"
"Bom Jesus da Lapa";0,633;0,615;0,775;0,533;"BA"
"Serranópolis de Minas";0,633;0,608;0,773;0,539;"MG"
"Urucânia";0,633;0,628;0,811;0,498;"MG"
"Alto Parnaíba";0,633;0,683;0,785;0,474;"MA"
"Pindaré-Mirim";0,633;0,568;0,755;0,592;"MA"
"Santana da Boa Vista";0,633;0,63;0,802;0,503;"RS"
"Itapissuma";0,633;0,589;0,764;0,564;"PE"
"Santo Antônio do Grama";0,633;0,626;0,823;0,493;"MG"
"Farias Brito";0,633;0,541;0,774;0,605;"CE"
"Minas Novas";0,633;0,6;0,802;0,528;"MG"
"Bocaina";0,632;0,614;0,773;0,532;"PI"
"Silves";0,632;0,546;0,791;0,584;"AM"
"Santo Antônio do Tauá";0,632;0,598;0,753;0,561;"PA"
"Rosário";0,632;0,566;0,752;0,592;"MA"
"Cruz";0,632;0,573;0,752;0,586;"CE"
"Independência";0,632;0,561;0,759;0,592;"CE"
"Escada";0,632;0,594;0,781;0,543;"PE"
"Dom Macedo Costa";0,632;0,598;0,795;0,531;"BA"
"Gandu";0,632;0,645;0,771;0,508;"BA"
"Lajedão";0,632;0,652;0,778;0,497;"BA"
"Rodelas";0,632;0,566;0,79;0,564;"BA"
"Córrego Novo";0,632;0,596;0,805;0,525;"MG"
"José Gonçalves de Minas";0,632;0,597;0,764;0,553;"MG"
"Presidente Bernardes";0,632;0,603;0,804;0,521;"MG"
"Riachinho";0,632;0,577;0,795;0,551;"MG"
"São Sebastião do Rio Preto";0,632;0,662;0,809;0,472;"MG"
"Simonésia";0,632;0,622;0,823;0,493;"MG"
"Veredinha";0,632;0,579;0,785;0,555;"MG"
"Divino de São Lourenço";0,632;0,622;0,819;0,496;"ES"
"Mato Rico";0,632;0,58;0,812;0,536;"PR"
"Miranda";0,632;0,638;0,782;0,507;"MS"
"Sinimbu";0,631;0,697;0,792;0,456;"RS"
"Pendências";0,631;0,633;0,753;0,526;"RN"
"Matipó";0,631;0,63;0,78;0,511;"MG"
"Ichu";0,631;0,58;0,771;0,562;"BA"
"Nova Olinda";0,631;0,614;0,765;0,535;"TO"
"Rosário do Catete";0,631;0,603;0,731;0,571;"SE"
"Campinaçu";0,631;0,644;0,819;0,476;"GO"
"Marianópolis do Tocantins";0,631;0,63;0,792;0,504;"TO"
"Sobradinho";0,631;0,605;0,748;0,555;"BA"
"Araguatins";0,631;0,604;0,793;0,525;"TO"
"Cantagalo";0,631;0,598;0,816;0,515;"MG"
