"cod_municipio ibge";"Município";"Gini_2010"
"353530";"Palmital";0,4648
"353540";"Panorama";0,4643
"353550";"Paraguaçu Paulista";0,4641
"353560";"Paraibuna";0,5208
"353570";"Paraíso";0,4544
"353580";"Paranapanema";0,4954
"353590";"Paranapuã";0,4498
"353600";"Parapuã";0,4203
"353610";"Pardinho";0,4629
"353620";"Pariquera-Açu";0,4754
"353625";"Parisi";0,4021
"353630";"Patrocínio Paulista";0,4254
"353640";"Paulicéia";0,4417
"353650";"Paulínia";0,488
"353657";"Paulistânia";0,4293
"353660";"Paulo de Faria";0,5305
"353670";"Pederneiras";0,5021
"353680";"Pedra Bela";0,4069
"353690";"Pedranópolis";0,3776
"353700";"Pedregulho";0,4975
"353710";"Pedreira";0,4261
"353715";"Pedrinhas Paulista";0,5619
"353720";"Pedro de Toledo";0,4794
"353730";"Penápolis";0,4742
"353740";"Pereira Barreto";0,4931
"353750";"Pereiras";0,4435
"353760";"Peruíbe";0,547
"353770";"Piacatu";0,4064
"353780";"Piedade";0,4913
"353790";"Pilar do Sul";0,4698
"353800";"Pindamonhangaba";0,5227
"353810";"Pindorama";0,4042
"353820";"Pinhalzinho";0,4214
"353830";"Piquerobi";0,4178
"353850";"Piquete";0,4977
"353860";"Piracaia";0,5854
"353870";"Piracicaba";0,5398
"353880";"Piraju";0,4859
"353890";"Pirajuí";0,4798
"353900";"Pirangi";0,3808
"353910";"Pirapora do Bom Jesus";0,4885
"353920";"Pirapozinho";0,5286
"353930";"Pirassununga";0,521
"353940";"Piratininga";0,4783
"353950";"Pitangueiras";0,4237
"353960";"Planalto";0,3858
"353970";"Platina";0,496
"353980";"Poá";0,4461
"353990";"Poloni";0,3931
"354000";"Pompéia";0,4913
"354010";"Pongaí";0,4564
"354020";"Pontal";0,4598
"354025";"Pontalinda";0,3806
"354030";"Pontes Gestal";0,3836
"354040";"Populina";0,4151
"354050";"Porangaba";0,5061
"354060";"Porto Feliz";0,4586
"354070";"Porto Ferreira";0,4592
"354075";"Potim";0,3708
"354080";"Potirendaba";0,4032
"354085";"Pracinha";0,391
"354090";"Pradópolis";0,4638
"354100";"Praia Grande";0,5108
"354105";"Pratânia";0,3974
"354110";"Presidente Alves";0,482
"354120";"Presidente Bernardes";0,4767
"354130";"Presidente Epitácio";0,4855
"354140";"Presidente Prudente";0,5444
"354150";"Presidente Venceslau";0,5094
"354160";"Promissão";0,4395
"354165";"Quadra";0,4908
"354170";"Quatá";0,4175
"354180";"Queiroz";0,43
"354190";"Queluz";0,4711
"354200";"Quintana";0,4324
"354210";"Rafard";0,4017
"354220";"Rancharia";0,4694
"354230";"Redenção da Serra";0,4724
"354240";"Regente Feijó";0,467
"354250";"Reginópolis";0,4083
"354260";"Registro";0,5335
"354270";"Restinga";0,392
"354280";"Ribeira";0,4766
"354290";"Ribeirão Bonito";0,4627
"354300";"Ribeirão Branco";0,4811
"354310";"Ribeirão Corrente";0,4217
"354320";"Ribeirão do Sul";0,5937
"354323";"Ribeirão dos Índios";0,3794
"354325";"Ribeirão Grande";0,4232
"354330";"Ribeirão Pires";0,4751
"354340";"Ribeirão Preto";0,5458
"354360";"Rifaina";0,4513
"354370";"Rincão";0,4472
"354380";"Rinópolis";0,4384
"354390";"Rio Claro";0,5081
"354400";"Rio das Pedras";0,4588
"354410";"Rio Grande da Serra";0,4048
"354420";"Riolândia";0,4014
"354350";"Riversul";0,5152
"354425";"Rosana";0,6092
"354430";"Roseira";0,4355
"354440";"Rubiácea";0,367
"354450";"Rubinéia";0,4037
"354460";"Sabino";0,4128
"354470";"Sagres";0,4769
"354480";"Sales";0,4184
"354490";"Sales Oliveira";0,4403
"354500";"Salesópolis";0,4249
"354510";"Salmourão";0,3921
"354515";"Saltinho";0,3947
"354520";"Salto";0,4544
"354530";"Salto de Pirapora";0,4546
"354540";"Salto Grande";0,4376
"354550";"Sandovalina";0,4337
"354560";"Santa Adélia";0,4369
"354570";"Santa Albertina";0,4236
"354580";"Santa Bárbara d'Oeste";0,4188
"354600";"Santa Branca";0,478
"354610";"Santa Clara d'Oeste";0,4557
"354620";"Santa Cruz da Conceição";0,6755
"354625";"Santa Cruz da Esperança";0,5311
"354630";"Santa Cruz das Palmeiras";0,5206
"354640";"Santa Cruz do Rio Pardo";0,4639
"354650";"Santa Ernestina";0,4297
"354660";"Santa Fé do Sul";0,4983
"354670";"Santa Gertrudes";0,3857
"354680";"Santa Isabel";0,4727
"354690";"Santa Lúcia";0,3912
"354700";"Santa Maria da Serra";0,475
"354710";"Santa Mercedes";0,4031
"354750";"Santa Rita do Passa Quatro";0,4884
"354740";"Santa Rita d'Oeste";0,3897
"354760";"Santa Rosa de Viterbo";0,5115
"354765";"Santa Salete";0,3465
"354720";"Santana da Ponte Pensa";0,4222
"354730";"Santana de Parnaíba";0,6858
