"Município";"Valor Transferido"
"LIMEIRA";137426371,95
"LINDÓIA";6003876,37
"LINS";31549395,28
"LORENA";36029948,65
"LOURDES";1543304,23
"LOUVEIRA";16203869,58
"LUCÉLIA";7034903,29
"LUCIANÓPOLIS";1226646,71
"LUÍS ANTÔNIO";2310090,93
"LUIZIÂNIA";2571888,1
"LUPÉRCIO";1886091,66
"LUTÉCIA";995883,54
"MACATUBA";6320013,36
"MACAUBAL";3622624,5
"MACEDÔNIA";2514753,53
"MAGDA";1006579,83
"MAIRINQUE";11990561,39
"MAIRIPORÃ";50808427,52
"MANDURI";2838839,45
"MARABÁ PAULISTA";1894500,54
"MARACAÍ";5604021,3
"MARAPOAMA";1133217,29
"MARIÁPOLIS";1398224,16
"MARÍLIA";168232051
"MARINÓPOLIS";1063262,38
"MARTINÓPOLIS";13644553,51
"MATÃO";16499810,11
"MAUÁ";201039940,31
"MENDONÇA";4338937,31
"MERIDIANO";1897975,82
"MESÓPOLIS";1428460,66
"MIGUELÓPOLIS";6377635,19
"MINEIROS DO TIETÊ";2915685,58
"MIRA ESTRELA";1656238,97
"MIRACATU";9278342,84
"MIRANDÓPOLIS";8762122,96
"MIRANTE DO PARANAPANEMA";8807669,94
"MIRASSOL";7844326,59
"MIRASSOLÂNDIA";1376228,05
"MOCOCA";35620287,24
"MOGI DAS CRUZES";128805361,4
"MOGI GUAÇU";65220231,42
"MOGI MIRIM";45582663,12
"MOMBUCA";1717769,18
"MONÇÕES";1089926,33
"MONGAGUÁ";23574106,63
"MONTE ALEGRE DO SUL";3517760,57
"MONTE ALTO";19512140,06
"MONTE APRAZÍVEL";4439458,02
"MONTE AZUL PAULISTA";12684401,14
"MONTE CASTELO";1463430,83
"MONTE MOR";21974587,91
"MONTEIRO LOBATO";1073067,64
"MORRO AGUDO";14596429,32
"MORUNGABA";4629899,48
"MOTUCA";1682278,62
"MURUTINGA DO SUL";2370384,71
"NANTES";1552010,32
"Não se aplica";7682931269,49
"NARANDIBA";2212791,75
"NATIVIDADE DA SERRA";1646976,38
"NAZARÉ PAULISTA";2642278,05
"NEVES PAULISTA";3363842,39
"NHANDEARA";3787587,15
"NIPOÃ";1912271,36
"NOVA ALIANÇA";3339642,17
"NOVA CAMPINA";3929378,71
"NOVA CANAÃ PAULISTA";1023406,1
"NOVA CASTILHO";826501,72
"NOVA EUROPA";4375144,15
"NOVA GRANADA";5674720,98
"NOVA GUATAPORANGA";943171,36
"NOVA INDEPENDÊNCIA";2579058,49
"NOVA LUZITÂNIA";1499907,75
"NOVA ODESSA";12806336,85
"NOVAIS";2889017,82
"NOVO HORIZONTE";17512977,53
"NUPORANGA";2910699,58
"OCAUÇU";1221288,22
"ÓLEO";695487,29
"OLÍMPIA";23631323,83
"ONDA VERDE";1355314,56
"ORIENTE";2851417,04
"ORINDIÚVA";5120297,33
"ORLÂNDIA";10740136,53
"OSASCO";190611521,18
"OSCAR BRESSANE";2129056,38
"OSVALDO CRUZ";12926186,11
"OURINHOS";100070055,19
"OURO VERDE";3675403,26
"OUROESTE";3959243,34
"PACAEMBU";4734261,67
"PALESTINA";4346064,56
"PALMARES PAULISTA";3834169,46
"PALMEIRA D'OESTE";7623461,18
"PALMITAL";13327670,04
"PANORAMA";4832139,26
"PARAGUAÇU PAULISTA";26206134,27
"PARAIBUNA";5261038,54
"PARAÍSO";1860052,81
"PARANAPANEMA";8152845,21
"PARANAPUÃ";1521459,38
"PARAPUÃ";3843082,2
"PARDINHO";2210729,67
"PARIQUERA-AÇU";5132566,61
"PARISI";1693616,61
"PATROCÍNIO PAULISTA";3384532,11
"PAULICÉIA";3168010,16
"PAULÍNIA";18239080,52
"PAULISTÂNIA";1144703,07
"PAULO DE FARIA";6670143,29
"PEDERNEIRAS";20478073,07
"PEDRA BELA";2419175,42
"PEDRANÓPOLIS";1852867,1
"PEDREGULHO";4047670,77
"PEDREIRA";17007473,93
"PEDRINHAS PAULISTA";2037957,71
"PEDRO DE TOLEDO";7265018,73
"PENÁPOLIS";34067902,11
"PEREIRA BARRETO";9758704,39
"PEREIRAS";2957332,25
"PERUÍBE";25975415
"PIACATU";2920874,46
"PIEDADE";17995124,86
"PILAR DO SUL";7451821,83
"PINDAMONHANGABA";58215969,19
"PINDORAMA";4355564,45
"PINHALZINHO";3230326,12
"PIQUEROBI";1299485,8
"PIQUETE";4421347,83
"PIRACAIA";4808732,25
"PIRACICABA";206909369,19
"PIRAJU";14092577,92
"PIRAJUÍ";6671287,62
"PIRANGI";5759032,18
"PIRAPORA DO BOM JESUS";9377457,42
"PIRAPOZINHO";10460557,03
"PIRASSUNUNGA";29039861,04
"PIRATININGA";4196441,45
"PITANGUEIRAS";12386795,44
"PLANALTO";2760227,78
"PLATINA";1353647,05
"POÁ";16630979,27
"POLONI";2856724,5
"POMPÉIA";10156508,32
"PONGAÍ";1496725,46
"PONTAL";13137762,13
"PONTALINDA";1303878,08
"PONTES GESTAL";1178906,48
"POPULINA";1860805,01
"PORANGABA";3002475,39
"PORTO FELIZ";13937908,12
"PORTO FERREIRA";18321469,53
"POTIM";6844372,34
"POTIRENDABA";4992214,93
"PRACINHA";1434690,56
"PRADÓPOLIS";3162760,25
"PRAIA GRANDE";140347448,22
"PRATÂNIA";2273619,68
"PRESIDENTE ALVES";1901400,34
"PRESIDENTE BERNARDES";7223856,4
"PRESIDENTE EPITÁCIO";21351050,04
"PRESIDENTE PRUDENTE";51768604,07
"PRESIDENTE VENCESLAU";17090627,29
"PROMISSÃO";9628941,31
"QUADRA";1425845,26
"QUATÁ";6255342,03
"QUEIROZ";1855309,99
"QUELUZ";6408952,39
"QUINTANA";4549771,09
"RAFARD";2131830,45
"RANCHARIA";9585407,59
"REDENÇÃO DA SERRA";1944439,13
"REGENTE FEIJÓ";9590814,07
"REGINÓPOLIS";2626774,81
"REGISTRO";23119654,51
"RESTINGA";2251327,8
"RIBEIRA";3119440,14
"RIBEIRÃO BONITO";2539186,19
"RIBEIRÃO BRANCO";7011185,66
"RIBEIRÃO CORRENTE";1629908,2
"RIBEIRÃO DO SUL";1810842,13
"RIBEIRÃO DOS ÍNDIOS";1064345,34
"RIBEIRÃO GRANDE";2678896,05
"RIBEIRÃO PIRES";57387859,46
"RIBEIRÃO PRETO";371478418,42
"RIFAINA";1650197,02
"RINCÃO";3155144,39
"RINÓPOLIS";3633408,44
"RIO CLARO";92237908,35
"RIO DAS PEDRAS";6146412,77
"RIO GRANDE DA SERRA";14661244,16
"RIOLÂNDIA";5115347,57
"RIVERSUL";1736472,4
"ROSANA";5518624,62
"ROSEIRA";4055515,62
"RUBIÁCEA";1542899
"RUBINÉIA";1410172,13
"SABINO";2213215,96
"SAGRES";1057594,24
"SALES";2238862,58
"SALES OLIVEIRA";4292362,32
"SALESÓPOLIS";4526842,08
"SALMOURÃO";1271642,09
"SALTINHO";1907354,08
"SALTO";32660988,61
"SALTO DE PIRAPORA";17966398,99
"SALTO GRANDE";6436632,63
"SANDOVALINA";1673919,14
"SANTA ADÉLIA";5000301,97
"SANTA ALBERTINA";2188524,56
"SANTA BÁRBARA D'OESTE";43435563,41
"SANTA BRANCA";4088077,22
"SANTA CLARA D'OESTE";1337533,41
"SANTA CRUZ DA CONCEIÇÃO";1603703,08
"SANTA CRUZ DA ESPERANÇA";1365948,32
"SANTA CRUZ DAS PALMEIRAS";8309067,36
"SANTA CRUZ DO RIO PARDO";26934138,09
"SANTA ERNESTINA";2338320,55
"SANTA FÉ DO SUL";26390693,39
"SANTA GERTRUDES";5679878,58
"SANTA ISABEL";25743040,09
"SANTA LÚCIA";1630375,73
"SANTA MARIA DA SERRA";1018533,37
"SANTA MERCEDES";1277726,93
"SANTA RITA D'OESTE";1079138,72
"SANTA RITA DO PASSA QUATRO";7625415,46
"SANTA ROSA DE VITERBO";4505134,14
"SANTA SALETE";989840,02
"SANTANA DA PONTE PENSA";1648492,76
"SANTANA DE PARNAÍBA";31886059,17
"SANTO ANASTÁCIO";8855930,87
"SANTO ANDRÉ";190418405,97
"SANTO ANTÔNIO DA ALEGRIA";5450524,86
"SANTO ANTÔNIO DE POSSE";8537311,88
"SANTO ANTÔNIO DO ARACANGUÁ";6005597,24
"SANTO ANTÔNIO DO JARDIM";2108868,35
"SANTO ANTÔNIO DO PINHAL";3504135,24
"SANTO EXPEDITO";1096098,74
"SANTÓPOLIS DO AGUAPEÍ";2846159,31
"SANTOS";227727291,07
"SÃO BENTO DO SAPUCAÍ";4540063,27
"SÃO BERNARDO DO CAMPO";510036744,5
"SÃO CAETANO DO SUL";83426059,96
"SÃO CARLOS";94724210,81
"SÃO FRANCISCO";1261387,56
"SÃO JOÃO DA BOA VISTA";51377572,43
"SÃO JOÃO DAS DUAS PONTES";1640780,69
"SÃO JOÃO DE IRACEMA";1170428,02
"SÃO JOÃO DO PAU D'ALHO";825893,33
"SÃO JOAQUIM DA BARRA";14804185,93
"SÃO JOSÉ DA BELA VISTA";3604565,86
"SÃO JOSÉ DO BARREIRO";2593888,99
"SÃO JOSÉ DO RIO PARDO";27741759,43
"SÃO JOSÉ DO RIO PRETO";216724023,52
"SÃO JOSÉ DOS CAMPOS";210433277,3
